CCc1sc(Br)cc1Br.Clc1ccc(I)cc1 CCC(Br)C(Br)c1cc(-c2ccc(Cl)cc2)sc1Br
NC(=O)c1cnccn1 CC(C)(C)OC(=O)N[C@@H](CC(=O)O)C(=O)OCc1ccccc1
CC1=[N+](CCCCCC(=O)O)c2ccc(Br)cc2C1(C)C.CCO CC1(C)C(C)(C)c2cc(Br)ccc2N1.CCOC(=O)CCCCCBr
C/C=C/C=O.Nc1ccc(F)c(Br)c1 C/C=C/C=O.Nc1cc(Br)c(F)cc1Br
CC(C)(COc1nc(N2CCOCC2)ccc1NC(=O)c1coc2c1C(=O)NCC2)OCc1ccccc1 CC(C)(O)COc1nc(N2CCOCC2)ccc1NC(=O)c1coc2c1C(=O)N(C(=O)OC(C)(C)C)CC2
COP(OC)OC.Cc1cc(C(C)(C)C)c(O)c(C)c1CCl COP(=O)(Cc1c(C)cc(C(C)(C)C)c(OCc2ccccc2)c1C)OC
CC(C)(C)OC(=O)N1CCNCC1.Clc1ncc(Br)cn1 Brc1cnc(N2CCNCC2)nc1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C
CC(=NN)c1csc(-c2ccc(Cl)c(Cl)c2)c1O.COC(=O)CN=C=S CC(=O)c1csc(-c2ccc(Cl)c(Cl)c2)c1O.COC(=O)CNC(=S)NN
OC(c1ccccc1)c1nn2ccccc2c1-c1ccnc(NC2CCCC2)n1 CC1(C)OB(c2ccnc(NC3CCCC3)n2)OC1(C)C.O=C(c1ccccc1)c1nn2ccccc2c1Br
C=COC(C)=O.CC(=O)O C=COC(C)=O.CBr.CC(=O)O
N#Cc1ccc(N2C(=O)N[C@H]3CCCC[C@@H]32)cc1C(F)(F)F.OCc1ccc(I)cc1F N#Cc1ccc(N2C(=O)N(c3ccc(C=O)c(F)c3)[C@H]3CCCC[C@@H]32)cc1C(F)(F)F
COc1cc(C)c2[nH]c(=O)c3sccc3c2c1Br.C[C@@H](NC(=O)OC(C)(C)C)c1ccc(Br)cc1 COc1cc(C)c2[nH]c(=O)c3sccc3c2c1Br.C[C@H](NC(=O)OC(C)(C)C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1
CCOC(=O)c1csc(-c2ccc(C(F)(F)F)cc2)n1.Cc1cc(N)cnc1C1=CCC(N2CCOCC2)CC1 C1COCCN1.Cc1cc(NC(=O)c2csc(-c3ccc(C(F)(F)F)cc3)n2)cnc1C1=CCC(OS(C)(=O)=O)CC1
CCCc1c(C=O)ncn1S(=O)(=O)N(C)C CCCc1c(COC(C)=O)ncn1S(=O)(=O)N(C)C
CC(C)(C)OC(=O)NCCCNCC(=O)O.COC(=O)C(N=C=O)c1ccccc1 CC(C)(C)OC(=O)NCCCN(CC(=O)O)C(=O)O.COC(=O)C(N)c1ccccc1
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)c(F)c21.OCCBr CCn1cc(C(=O)O)c(=O)c2cc(F)c(Cl)c(F)c21.OCCN1CCNCC1
CC(C)(C)OC(=O)N[C@H]1C[C@H](CN=[N+]=[N-])C1 CC(C)(C)OC(=O)N[C@H]1C[C@H](CNC(=O)OCc2ccccc2)C1
C1COCCN1.COc1ccc(C2CCOCC2)c2oc(NC(=O)c3ccnc(Br)c3)nc12 COc1ccc(C2CCOCC2)c2oc(N)nc12.O=C(O)c1ccnc(N2CCOCC2)c1
C[O-].NC1=N[C@@]2(CO1)c1cc(-c3cccnc3)ccc1Oc1c2cc(-c2cccnc2)nc1F COc1nc(-c2cccnc2)cc2c1Oc1ccc(Br)cc1[C@@]21COC(N)=N1.OB(O)c1cccnc1
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCCO)[C@@H](O)[C@H]1O.O=[N+]([O-])c1ccc(CBr)cc1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCCO)[C@@H](O)[C@H]1O.O=Cc1ccc([N+](=O)[O-])cc1
COc1cc(C)cc(C)c1-c1cccc2c(NCC3CC3)c(OC)nn12.O=CC1CCOCC1 BrCC1CCOCC1.COc1cc(C)cc(C)c1-c1cccc2c(NCC3CCOCC3)c(OC)nn12
Fc1ccc(-n2ncc3cc(Br)c4cnccc4c32)cc1.N#C[Cu] NC(=O)c1cc2cnn(-c3ccc(F)cc3)c2c2ccncc12
CC(=O)Cl.ClC(Cl)=Cc1cccs1 CC(=O)c1ccc(C=O)s1.ClC(Cl)(Cl)Cl
COC(Cc1cccc(C#CCCCOc2ccc(Oc3ccccc3)cc2)c1)C(=O)O CCOC(=O)C(Cc1cccc(CCCCCOc2ccc(Oc3ccccc3)cc2)c1)OC
O=C1Cc2[nH]c3cc(F)ccc3c2CCN1 Fc1ccc2c3c([nH]c2c1)CCN(Cc1ccccc1)CC3
O=C1Cc2ccc(Cl)cc2N1.O=Cc1cccc(Cl)c1F O=C1Cc2ccc(Cl)cc2N1.O=C1Nc2cc(Cl)ccc2/C1=C\c1cccc(Cl)c1F
CC(=O)N1CCNCC1C.O=C(O)c1cn(C2CC2)c2cc(F)c(F)c(NCc3ccccc3)c2c1=O CC(=O)N1CCN(c2cc3c(c(F)c2F)c(=O)c(C(=O)O)cn3C2CC2)CC1C.NCc1ccccc1
CCC(Br)c1nc(C)c(C)c(=O)n1Cc1ccccc1.Cc1ccc(C2CNCCN2)cc1 CCC(c1nc(C)c(C)c(=O)n1Cc1ccccc1)N1CCN(C(=O)OC(C)(C)C)CC1c1ccc(C)cc1
C[O-].Cc1cc(=O)n(CCN2CCC(N(Cc3cc4c(cn3)OCCO4)C(=O)OC(C)(C)C)CC2)c2cc(F)cnc12 CC(C)(C)OC(=O)N(Cc1cc2c(cn1)OCCO2)C1CCNCC1.COc1cnc2c(C)cc(=O)n(CC=O)c2c1
CN(CC[C@H](c1ccccc1)c1c[nH]c2ncccc12)C(=O)OC(C)(C)C CC(C)(C)OC(=O)N1CCC(N2c3ccccc3Oc3cc(-c4cccnc4)ccc32)CC1
CCOC(=O)c1c(-c2ccccc2OC)csc1N1C(=O)c2ccccc2C1=O COc1ccccc1-c1csc(N2C(=O)c3ccccc3C2=O)c1C(=O)OC(C)(C)C
CO.O=C(O)CCCc1ccc(I)cc1 COC(=O)CCC(=O)c1ccc(I)cc1
CS(=O)(=O)Oc1cc(C(=O)O)ccc1OCc1ccccc1.[O-][n+]1cc(Cl)c(C[C@H](O)c2ccc(OC(F)F)c(OCC3CC3)c2)c(Cl)c1 CS(=O)(=O)Cl.O=C(O[C@@H](Cc1c(Cl)c[n+]([O-])cc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1)c1ccc(OCc2ccccc2)c(O)c1
N#Cc1cccc(-c2ccncc2C=O)c1.[Mg+]c1ccccc1 N#Cc1cccc(-c2ccncc2C(=O)c2ccccc2)c1
C#Cc1ccc2cc(OC)ccc2c1.Cc1cc(I)ccc1N COc1ccc2cc(C#Cc3ccc([N+](=O)[O-])c(C)c3)ccc2c1
BrCc1ccccc1.CCOC(=O)CCCCc1ccc(O)c(OC)c1 CCOC(=O)CCCC(O)c1ccc(OCc2ccccc2)c(OC)c1
C[C@H]1CNC[C@@H](C)O1.Cc1ccc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(Br)cc2)cn1 C[C@H]1CN(c2ccc(S(=O)(=O)Cl)cc2)C[C@@H](C)O1.Cc1ccc(C(=O)c2cc(Cl)ccc2N)cn1
CC(=O)Nc1cn2nc(Cl)ccc2n1.O=S(=O)(Nc1cc(Br)cnc1Cl)c1ccc(F)cc1 CC(=O)Nc1cn2nc(B3OC(C)(C)C(C)(C)O3)ccc2n1.O=S(=O)(Nc1cc(Br)cnc1Cl)c1ccc(F)cc1
Nc1ccccc1Br.OB(O)c1ccc(Cl)cc1Cl CC(C)(C)OC(=O)Nc1ccccc1-c1ccc(Cl)cc1Cl
CC(=O)OC(C)=O.Nc1cccc(-c2ccc3nncn3n2)c1 Brc1ccc2nncn2n1.CC(=O)Nc1cccc(B2OC(C)(C)C(C)(C)O2)c1
CCOC(=O)c1c(C)nc2cccc(OC[C@@H](N)C(C)C)c2c1N.O=C(O)c1cccc(O)c1 CCOC(=O)c1c(C)nc2cccc(OC[C@@H](NC(=O)c3cccc(OC(C)=O)c3)C(C)C)c2c1N
C1CNCCN1.O=S(=O)(c1ccccc1)n1cc(-c2ccc3oc(CCl)nc3c2)c2ccc(F)cc21 CC(C)(C)OC(=O)N1CCN(Cc2nc3cc(-c4cn(S(=O)(=O)c5ccccc5)c5cc(F)ccc45)ccc3o2)CC1
CCCNCCC.CN(C(=O)Oc1ccc(NC(=O)c2ccc(CCl)cc2)cn1)c1ccccc1 CCCN(CCC)Cc1ccc(C(=O)O)cc1.CN(C(=O)Oc1ccc(N)cn1)c1ccccc1
CS(=O)c1ccc(N2C(=O)N(Cc3ccccc3Br)C(C)(C)C2=O)cc1C(F)(F)F.Nc1ccc(F)cc1F CSc1ccc(N2C(=O)N(Cc3ccccc3Nc3ccc(F)cc3F)C(C)(C)C2=O)cc1C(F)(F)F.O=C(OO)c1cccc(Cl)c1
CON(C)C(=O)CNC(=O)OC(C)(C)C CC(=O)CN.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C
O=C(NCc1c[nH]cn1)c1ccc(Cl)s1.O=c1ccccn1-c1ccc(I)cn1 C#CCNC(=O)c1ccc(Cl)s1.[N-]=[N+]=Nc1ccc(N=[N+]=[N-])cn1
CC(=O)O[C@@H]1[C@@H](C(=O)O)OC(C)(Br)[C@H](OC(C)=O)[C@H]1OC(C)=O.[N-]=[N+]=[N-] CC(=O)O[C@@H]1[C@@H](C(=O)OCc2ccccc2)OC(C)(N=[N+]=[N-])[C@H](OC(C)=O)[C@H]1OC(C)=O
C1CCNC1.C=O.O=C(c1ccc(CCc2ccccc2)cc1)N1CCc2ccoc2C1 C1CCNC1.O=Cc1cc2c(o1)CN(C(=O)c1ccc(CCc3ccccc3)cc1)CC2
COc1cc(C=O)ccc1S(=O)(=O)N(C)C COC(=O)c1ccc(S(=O)(=O)N(C)C)c(OC)c1
CC(C)(C)OC(=O)NCc1cc(C2=NOC(c3cc(Cl)c(Cl)c(Cl)c3)(C(F)(F)F)C2)ccc1Br O=C1c2ccccc2C(=O)N1Cc1cc(C2=NOC(c3cc(Cl)c(Cl)c(Cl)c3)(C(F)(F)F)C2)ccc1Br
CCOC(=O)CN1C(=O)C(C(C)C)N(C(C)=O)C=C1c1ccccc1 CC(=O)N1C=C(c2ccccc2)N(CC(=O)OC(C)(C)C)C(=O)C1C(C)C
O=S(=O)(c1ccccc1)[C@@H]1C[C@]2(c3ccccc3)N(Cc3ccccc3)[C@H]1CC[C@@]2(O)C#CCO O=C(O)/C=C\CO.O=S(=O)(c1ccccc1)[C@@H]1C[C@@]2(c3ccccc3)N(Cc3ccccc3)[C@H]1CC[C@@]2(O)/C=C\CO
CCOC(=O)c1nc(CC2(c3ccccc3)CCCC2)n(C)c(=O)c1O.CN CNC(=O)c1nc(CC2(c3ccccc3)CCCC2)n(C)c(=O)c1OCc1ccccc1
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@H](CCC(=O)NCCOCCOCCOCCN=[N+]=[N-])C(=O)OC(C)(C)C)cc1 CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@H](CCC(=O)NCCOCCOCCNC(=O)OC(C)(C)C)C(=O)OC(C)(C)C)cc1
CCN(CC)C/C=C/c1cnc(N)c2c(-c3ccc(NC(=O)OC(C)(C)C)c(OC)c3)csc12 CCN(CC)C/C=C/c1cnc(N)c2c(Br)csc12.COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1N
CC(=O)NC1CCN(C(=O)OCc2ccccc2)CCC1O COC(=O)C1(NC(C)=O)CCN(C(=O)OCc2ccccc2)CCC1=O
Nc1ccncn1.O=C1CN(C(=O)C(F)(F)F)CCN1c1ccc(S(=O)(=O)Cl)cc1 O=C(OC(=O)C(F)(F)F)C(F)(F)F.O=C1CNCCN1c1ccc(S(=O)(=O)Nc2ccncn2)cc1
BrCBr.CN1CCCC1 BrC(Br)(Br)Br.CN1CCCC1
CC(C)(C)OC(=O)N1CCNCC1.Nc1cccc(Cl)c1[N+](=O)[O-] CC(C)(C)OC(=O)N1CCN(c2cccc([N+](=O)[O-])c2[N+](=O)[O-])CC1
CN1CCN([C@H]2CC[C@@H](n3nc(-c4ccc(Nc5nc6ccccc6o5)c(F)c4)c4c(N)ncnc43)CC2)CC1 CC1(C)OB(c2ccc(Nc3nc4ccccc4o3)cc2)OC1(C)C.CN1CCN([C@H]2CC[C@H](n3nc(I)c4c(N)ncnc43)CC2)CC1
CC(C)(C)OC(=O)NC1CCNCC1.O=C(NCCBr)OCc1ccccc1 CC(C)(C)OC(=O)NC1CCN(CCN)CC1.O=C(Cl)OCc1ccccc1
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](N=[N+]=[N-])CC[C@]4(C)[C@H]3CC[C@@]21C CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](NC(=O)OC(C)(C)C)CC[C@]4(C)[C@H]3CC[C@@]21C
CCOC(=O)CCCc1ccc(O)c(Br)c1.N#C[Cu] CCOC(=O)CCCc1ccc(OCc2ccccc2)c(C#N)c1
C=CCNCC=C.CC1c2ccccc2CCON1C(=O)Cl C=CCN(CC=C)C(=O)O.CC1Nc2ccccc2CCO1
O=Cc1cccn1NCc1ccncc1F CCOC(=O)c1cccn1NCc1ccncc1F
CCC1NCCCNC1=O CCC1CN(C(=O)OC(C)(C)C)CCCN1
CC(O)CCCCCCOCc1cc(C(F)(F)F)cc(C(F)(F)F)c1 CON(C)C(=O)CCCCCCOCc1cc(C(F)(F)F)cc(C(F)(F)F)c1
Fc1ccc(Cl)c(Cl)c1.OC1CCNCC1 CC(C)(C)OC(=O)N1CCC(Oc2ccc(Cl)c(Cl)c2)CC1
CN(CCO)C(=O)C(=O)Nc1c(C(=O)C(C)(C)C)oc2nc(-c3ccccc3Cl)c(-c3ccc(Cl)cc3)cc12 CC(C)(C)C(=O)c1oc2nc(-c3ccccc3Cl)c(-c3ccc(Cl)cc3)cc2c1OS(=O)(=O)C(F)(F)F.CN1CCNC(=O)C1=O
Nc1ccc2c(c1)CC(=O)N2.O=Cc1ccc2[nH]nnc2c1 O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C/c1ccc2[nH]nnc2c1
CN1COCNC1=N[N+](=O)[O-].Clc1ncc(CI)s1 CN1COCNC1=N[N+](=O)[O-].O=Cc1cnc(Cl)s1
CC(C)(C)OC(=O)N1CCN(c2ncc(C(=O)O)cc2Cl)CC1.CNOC CC(C)(C)OC(=O)N1CCNCC1.CON(C)C(=O)c1cnc(Cl)c(Cl)c1
C[C@H]1C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H](NC(=O)OC(C)(C)C)[C@H]1N=[N+]=[N-] C[C@H]1C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H](NC(=O)OC(C)(C)C)[C@H]1NC(=O)OCc1ccccc1
COC(=O)[C@H]1C[C@H](Nc2nc(-c3ccccc3OC)nc3ccccc23)CN1C(=O)OC(C)(C)C CC(C)(C)OC(=O)N1C[C@H](N)C[C@@H]1C(=O)O.COc1ccccc1-c1nc(Cl)c2ccccc2n1
CC(C)(C)OC(=O)NCc1cccc(CO)c1.O=C(Nc1cccc2c1C(=O)NC2=O)c1ccc(Cl)s1 CC(C)(C)OC(=O)NCc1cccc(CN2C(=O)c3cccc(N)c3C2=O)c1.O=C(Cl)c1ccc(Cl)s1
CCOC(=O)C[C@H]1CC[C@H](CN(CC)c2ccc(C(F)(F)F)cc2C=O)CC1 CCOC(=O)C[C@H]1CC[C@H](CN(CC)c2ccc(C(F)(F)F)cc2C(=O)O)CC1
O=C(O)CCBr.O=c1[nH]c(S)nc2ccc(F)cc12 CCOC(=O)CCSc1nc2ccc(F)cc2c(=O)[nH]1
CC(C)(C)OC(=O)N1CC(O)C1.Fc1ccc(Nc2ncnc3cccc(F)c23)cc1Cl CC(C)(C)OC(=O)N1CC(Oc2cccc3ncnc(Cl)c23)C1.Nc1ccc(F)c(Cl)c1
CCN.Cc1ccc(C(=O)O)cc1B1OC(C)(C)C(C)(C)O1 CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CCNC(=O)c1ccc(C)c(Br)c1
COCCOc1cc(Br)ccc1CBr.O=Cc1[nH]c(-c2ccccc2)nc1Cl CN(C)C=O.COCCOc1cc(Br)ccc1Cn1c(-c2ccccc2)nc(Cl)c1C=O
CC(C)(C)OC(=O)N(Cc1ccc(OCCN2CCC3(CC2)CN(C(=O)C(F)(F)F)CCO3)cc1)C[C@H](O)c1ccc(O)c2[nH]c(=O)sc12 CC(C)(C)OC(=O)N(Cc1ccc(OCCN2CCC3(CC2)CN(C(=O)OCc2ccccc2)CCO3)cc1)C[C@H](O)c1ccc(O)c2[nH]c(=O)sc12
C/C=C\c1ccc2c(c1)CCc1c(CC3CCCN(C(=O)OC(C)(C)C)C3=O)ncn1-2 CCCc1ccc2c(c1)CCc1c(CC3CCCN(C(=O)OC(C)(C)C)C3=O)nc(Cl)n1-2
C=O.COc1ccccc1N1CCNCC1.Nc1cc(C2CC2)nn1-c1ccccc1 COc1ccccc1N1CCN(Cc2c(C3CC3)nn(-c3ccccc3)c2[N+](=O)[O-])CC1
CCCOc1nc(Cl)ncc1C(=O)NC1C2CC3CC1CC(O)(C3)C2 CC(C)Oc1nc(Cl)ncc1C(=O)O.NC1C2CC3CC1CC(O)(C3)C2
COC(=O)c1ccc(C=C[C@@H]2C[C@H]2C(=O)NCc2ccc(-c3cccc(F)c3C(=O)OC)cc2F)cc1 COC(=O)c1c(F)cccc1-c1ccc(CNC(=O)[C@@H]2C[C@H]2C=O)c(F)c1.O=Cc1ccc(C(=O)O)cc1
Cc1c(N)cccc1-c1cnc(C(N)=O)c2[nH]c3cc(NC(=O)OCC[Si](C)(C)C)ccc3c12.O=Cc1ccc(Cl)cc1C(=O)O Cc1c(NCc2ccc(Cl)cc2C(=O)OCc2ccccc2)cccc1-c1cnc(C(N)=O)c2[nH]c3cc(NC(=O)OCC[Si](C)(C)C)ccc3c12
O=CC1=C(c2cccc3ccc(Cl)cc23)N2CCN=C2S1 COC(=O)C1=C(c2cccc3ccc(Cl)cc23)N2CCN=C2S1
COCCCOc1cc(C(=O)N(C[C@@H]2CN(C(=O)OC(C)(C)C)C[C@H]2CN=[N+]=[N-])C(C)C)ccc1OC COCCCOc1cc(C(=O)N(C[C@@H]2CN(C(=O)OC(C)(C)C)C[C@H]2CNC(=O)OCc2ccccc2)C(C)C)ccc1OC
C=CCI.Cc1ccc(O)c2c1NC(=O)C2(C)C C=CCBr.Cc1ccc(O)c2c1NC(=O)C(C)(C)C2
N.O=[N+]([O-])c1cccc(Br)c1F CC(=O)Nc1c(Br)cccc1[N+](=O)[O-]
CC(=O)Cl.CC(C)(C)OC(=O)N1CCC[C@H](CN)C1 CC(=O)OC(C)=O.CC(C)(C)OC(=O)N1CCC[C@H](CN)C1
CN(C)C(=O)Cl.Cc1csc(N)n1 CN(C)C(=O)OC(=O)OC(C)(C)C.Cc1csc(N)n1
CCc1ccc(C=C(Br)Br)cc1 CCc1ccc(C#C[Si](C)(C)C)cc1
CC(C)(C)OC(=O)NCCc1ccc(Br)cc1.OB(O)c1cccc(O)c1 CC(C)(C)OC(=O)NCCc1ccc(Br)cc1.CC1(C)OB(c2cccc(O)c2)OC1(C)C
CCOC(=O)c1cc(-c2ccc(F)cc2)n(-c2ccccc2)c1C CCOC(=O)C(CC(C)(C)C)C(=O)C(C)C(=O)c1ccc(F)cc1.NN
O=C1CCC(c2cccc(F)c2)CC1 Fc1cccc(C2CCC(OCc3ccccc3)CC2)c1
BrCC1CCOCC1.Nc1ccc2c(c1)NC(=O)CO2 O=C1COc2ccc([N+](=O)[O-])cc2N1CC1CCOCC1
CC1(C)C=C(c2cc([N+](=O)[O-])ccc2N2CCNCC2)CC(C)(C)C1.CCCC=O CC1(C)C=C(B2OC(C)(C)C(C)(C)O2)CC(C)(C)C1.CCCCN1CCN(c2ccc([N+](=O)[O-])cc2OS(=O)(=O)C(F)(F)F)CC1
CCOC(=O)c1cn2c3c(c(Br)c(F)c(F)c3c1=O)OC[C@@H]2C.Cc1cc([Sn](C)(C)C)cc(C)n1 CCOC(=O)c1cn2c3c(c(Br)c(F)c(F)c3c1=O)OC[C@@H]2C.Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(C)n1
COc1cccc2c1C(=O)NS2(=O)=O O=C1NS(=O)(=O)c2cccc(OCc3ccccc3)c21
C[C@@H](c1ccc(Br)cc1)N1CC[C@](CCCO)(c2ccc(F)cc2)OC1=O.Cc1cccc(B(O)O)n1 C[C@@H](c1ccc(B2OC(C)(C)C(C)(C)O2)cc1)N1CC[C@](CCCO)(c2ccc(F)cc2)OC1=O.Cc1cccc(Br)n1
O=C(O)c1ccc(-c2ccc(O)cc2)cc1.OCCCCCCBr CCOC(=O)c1ccc(-c2ccc(OCCCCCCO)cc2)cc1
NCC1Cc2cc(F)cc(-c3ccccc3Cl)c2O1.O=C(Cl)OCc1ccccc1 O=C(NCc1ccccc1)OCc1ccccc1.O=CC1Cc2cc(F)cc(-c3ccccc3Cl)c2O1
OC(Cc1ccccc1F)C1CCN(Cc2ccccc2)CC1 O=C(O)Cc1ccccc1F.c1ccc(CN2CCC(Cc3ccccc3)CC2)cc1
FC(F)(F)c1ccc(-c2cc(Cn3cc4nc(Br)nc-4cn3)on2)c(C(F)(F)F)c1.OB(O)c1cccc2[nH]ccc12 FC(F)(F)c1ccc(-c2cc(CCl)on2)c(C(F)(F)F)c1.c1cc(-c2nc3cn[nH]cc-3n2)c2cc[nH]c2c1
CCCCCCCCCCCCCCCCNc1ccc(C(=O)O)c(F)c1.OCC(O)CI CCCCCCCCCCCCCCCCNc1ccc(C(=O)OCC(OCc2ccccc2)CO)c(F)c1
C=C/C=C/C[C@H]1C[C@H](NC(=O)C(F)(F)F)[C@H](OC(=O)c2ccc([N+](=O)[O-])cc2)[C@H](C)O1.O=C1C=CC(=O)c2ccccc21 C[C@@H]1O[C@@H](CC2C=CCC3C(=O)c4ccccc4C(=O)C23)C[C@H](N)[C@@H]1OC(=O)c1ccc([N+](=O)[O-])cc1.O=C(OC(=O)C(F)(F)F)C(F)(F)F
O=C(OC[C@H]1CC(O)C[C@@H]1COC(=O)c1ccccc1)c1ccccc1 O=C(Cl)c1ccccc1.O=C1C[C@H](CO)[C@@H](COC(=O)c2ccccc2)C1
Cc1ccc(C(NC(=O)Cc2ccc3oc(C(Cl)c4c(C)noc4C)cc3c2)c2ccccc2)c(C)c1.N Cc1ccc(C(NC(=O)Cc2ccc3oc(C(=O)c4c(C)noc4C)cc3c2)c2ccccc2)c(C)c1.[NH4+]
C1CNCCN1.N#Cc1ccc(F)cc1F CC(C)(C)OC(=O)N1CCN(c2ccc(C#N)c(F)c2)CC1
Cc1ccc(C(=O)O)s1.Nc1cnc2ccccc2c1N Cc1ccc(C(=O)Nc2cnc3ccccc3c2[N+](=O)[O-])s1
C=C(C)CC(C(=O)OC)c1cc(-c2ccc(C(F)(F)F)cc2)nc(-c2ccc(C(F)(F)F)cc2)c1 COC(=O)C(CC(C)C)c1cc(OS(=O)(=O)C(F)(F)F)nc(-c2ccc(C(F)(F)F)cc2)c1.OB(O)c1ccc(C(F)(F)F)cc1
CC(C)(C)[Si](C)(C)OC1C=C(c2cnc(N)cn2)CCC1 CC(C)(C)[Si](C)(C)O[C@H]1CCC[C@@H](c2cnc([N+](=O)[O-])cn2)C1
C#Cc1ccc2ccnc(Cc3ccc(CCCC)cc3)c2c1 CCCCc1ccc(CBr)cc1.CCc1ccc2ccnc(Cl)c2c1
C1CCNCC1.O=[N+]([O-])c1c(Br)c[n+]([O-])c2ccccc12 O=[N+]([O-])c1c(N2CCCCC2)cnc2ccccc12.O=C(OO)c1cccc(Cl)c1
CC(C)(C)N1CCN(c2ccc(Cl)c(Cl)c2)C(C#N)C1 CC(C)(C)N1CCN(c2ccc(Cl)c(Cl)c2)C(CN=[N+]=[N-])C1
CCCN1CCCC(c2ccc([N+](=O)[O-])cc2)C1 CCCN1CCCC(c2ccc(NC(=O)OC(C)(C)C)cc2)C1
OC1(c2cccs2)CCNCC1 NCCCN1CCC(c2cccs2)CC1
CC(=O)Nc1nc(CCCc2ccc(CO)cc2)cs1 CC(=O)Nc1nc(CCCC(N)=S)cs1.O=Cc1ccc(Br)cc1
COC(=O)c1ccc(S(=O)(=O)NC(C)(C)C)cc1Cl CC(C)(C)NS(=O)(=O)c1ccc(C(=O)OCc2ccccc2)c(Cl)c1
CNCc1cccc(OCSC)c1.OO CNCc1cccc(OCSC)c1.O=C([O-])O
CC(=O)Nc1nc(-c2cccc(Br)c2)c[nH]1 Nc1nc(Br)c[nH]1.OB(O)c1cccc(Br)c1
CN.O=c1[nH]c(-c2ccccc2C(F)(F)F)cc2ccc(Br)cc12 CN(C(=O)OC(C)(C)C)c1ccc2cc(-c3ccccc3C(F)(F)F)[nH]c(=O)c2c1
COc1ccccc1C(O)c1cc2c(N)nc(-c3cccc(OC(F)(F)F)c3)nc2s1 COc1ccccc1C(=O)c1cc2c(N)nc(Cl)nc2s1.OB(O)c1cccc(OC(F)(F)F)c1
O=[N+]([O-])c1cnc2ccccc2c1N[C@H](CO)COCc1ccccc1 N[C@H](COCc1ccccc1)COCc1ccccc1N.O=[N+]([O-])c1cnc2ccccc2c1Cl
CC(C)(C)OC(=O)N1CCN(c2cc(CBr)cc(-c3ccnc(NC4CCCCC4)c3)n2)CC1.[N-]=[N+]=[N-] CC(C)(C)OC(=O)N1CCN(c2cc(COS(C)(=O)=O)cc(-c3ccnc(NC4CCCCC4)c3)n2)CC1.[N-]=[N+]=[N-]
CNc1ccccc1.Cc1cc(NC(=O)NCCN2CCC(C(=O)O)CC2)c2ccccc2n1 CN(C(=O)C1CCN(CCN)CC1)c1ccccc1.Cc1cc(NC(=O)NCCCl)c2ccccc2n1
Nc1cccc(O)c1.O=C(CC1CC1)Nc1cn2nc(I)ccc2n1 O=C(CC1CC1)Nc1cn2nc(Oc3cccc([N+](=O)[O-])c3)ccc2n1
CCOC(=O)CC(c1cccc(CO)c1)C1CC1.COc1ccc(F)c(-c2ccc(O)c(C(CC(C)(C)C)OC)c2)c1 CCOC(=O)CC(c1cccc(COc2ccc(Br)cc2C(CC(C)(C)C)OC)c1)C1CC1.COc1ccc(F)c(B(O)O)c1
CC(=O)OC(C)=O.CCc1ccc(Oc2ccc(NCCCN)cc2F)c(OCc2ccccc2)c1 CCc1ccc(Oc2ccc(N(CCCNC(=O)OC(C)(C)C)C(C)=O)cc2F)c(OCc2ccccc2)c1
CCI.COC(=O)c1cc(O)c2cccc(C3CC3)c2n1 CCOc1cc(C(=O)OC)nc2c(Cl)cccc12.OB(O)C1CC1
COc1cccc(I)c1.Nc1ncccc1-c1ccc(O)cc1 COc1cccc(Oc2ccc(B(O)O)cc2)c1.Nc1ncccc1Br
COc1nc(C#C[C@H]2CCC(=O)N2)ccc1Cl COc1nc(C=O)ccc1Cl.O=C1CC[C@H](C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)N1
CCC(=O)NCc1ccc(Cl)c(CO)c1 CCC(=O)NCc1ccc(Cl)cc1.CN(C)C=O
COC(=O)Cl.Cc1cc(Br)cs1 Cc1cc(C(=O)O)cs1.O=C([O-])O
